,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:48:46.605280
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:50:49.206926
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:50:49.206926
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:50:49.206926
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:50:49.206926
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 20:50:49.206926
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:50:49.206926
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:50:49.206926
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:52:50.797250
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:52:50.797250
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:52:50.797250
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:52:50.797250
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 20:52:50.797250
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:52:50.797250
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:52:50.797250
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:54:56.240743
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:54:56.240743
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:54:56.240743
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:54:56.240743
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 20:54:56.240743
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:54:56.240743
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:54:56.240743
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:56:58.787144
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:56:58.787144
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:56:58.787144
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:56:58.787144
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 20:56:58.787144
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:56:58.787144
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:56:58.787144
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:59:00.369756
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:59:00.369756
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:59:00.369756
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 20:59:00.369756
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 20:59:00.369756
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:59:00.369756
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 20:59:00.369756
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:01:06.192829
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:01:06.192829
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:01:06.192829
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:01:06.192829
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 21:01:06.192829
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:01:06.192829
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:01:06.192829
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:03:08.896315
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:03:08.896315
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:03:08.896315
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:03:08.896315
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 21:03:08.896315
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:03:08.896315
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:03:08.896315
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:05:10.735036
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:05:10.735036
2,554258,FRU 2 SECTOR 3,Sector 3,Haryana,Faridabad,Faridabad,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '4cb0bcac-08eb-422f-b5e6-d11c27eda929', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:05:10.735036
3,173823,ESI 55,Sector 55,Haryana,Faridabad,Faridabad,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '63e333c4-b6c8-4945-9fbc-4f792ec5fcd5', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:05:10.735036
4,554636,SDH Ballabhgarh,Ballabhgarh Govt. Hospital,Haryana,Faridabad,Ballabhgarh,121004,28,77,09:00:00,16:30:00,Free,"[{'session_id': 'dc124a4c-6773-4058-bc23-3ad88f9d4ea0', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']}]",2021-05-08 21:05:10.735036
5,646147,MOHNA PHC COVISHIELD,MOHNA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': '61cd0963-9b5d-4604-80e7-83c03dfdb3a1', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:05:10.735036
6,565038,CHC PALI Village Pali,Village Pali,Haryana,Faridabad,Kheri Kalan,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'bb539d2b-e6d5-4a20-a0e9-d10f6abcbac3', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:05:10.735036
0,682454,FATEPUR BILLOCH COVISHIELD,FATEPUR BILLOCH,Haryana,Faridabad,Kheri Kalan,121004,28,77,09:00:00,18:00:00,Free,"[{'session_id': '6d2cc603-43bc-4691-b11b-3d803693df07', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 21:07:16.016675
1,683146,PHC PANHERA COVISHIELD,VILLAGE PANHERA,Haryana,Faridabad,Kurali,121004,28,77,10:00:00,14:00:00,Free,"[{'session_id': 'e4783d84-c81b-49fb-866b-171411eecc98', 'date': '08-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-02:00PM']}]",2021-05-08 21:07:16.016675
