,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:40:05.120999
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:40:05.120999
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:47:21.120465
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 05:54:36.520659
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:01:56.556463
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:09:12.048459
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:16:35.033792
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:23:53.417691
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
2,680751,Mbmc Indira Gandhi,Poonam Sagar Opp Allahabad Bank Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '89c0b1fb-86f7-4e89-a258-6336e0f19578', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
3,615423,MBMC Mira Road Urdu School,Near Rassaz Mall Opp Wochardt Hosp Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '5892a9c2-3f95-4a4d-89ef-d3481873b9d3', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
4,584245,MBMCPenkarpada Munic SCHOOL,Penkarpada Municipal School Mira Road,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '3bfef77c-3919-4962-a592-4b9c95a8390c', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
5,583122,IDEAL PARK HEALTH CENTRE MBMC,Behind Deepak Hsopital Roadramdeo Park Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,73,10:00:00,16:00:00,Free,"[{'session_id': 'b12476e1-9aae-4e08-83a0-9169daa78de2', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
6,584178,Kashigaon Municipal School,Kashigaon Municipal School Kashimira,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,16,81,10:00:00,16:00:00,Free,"[{'session_id': 'ebb2432f-f593-455f-b8a6-a1f03319a79f', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:31:13.349956
0,551889,B. Indira Gandhi Hospital,Poonam Sagar Nr Alahabad Bnak Mira Road East,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '4a5c905e-468a-4b5f-887c-3955cd9b1fcc', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
1,571774,NAVGHAR HEALTH POST,NAVGHAR MUNCIPAL SCHOOL BHAYANDER EAST,Maharashtra,Thane,Mira Bhayander Municipal Corporation,401107,19,72,10:00:00,16:00:00,Free,"[{'session_id': '340fd23a-7756-4847-852f-aa6f4cb80c11', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-01:00PM', '01:00PM-04:00PM']}]",2021-05-10 06:38:27.549632
